Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
110	U00003420	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Dorea	0.00	0.02	0.78	0.43	0.00	up	up	down	5.64E-08	0.3681	0.0003	0.0007	0.3681
111	U00006205	Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridium XI	0.00	0.00	0.73	0.12	0.00	up	up	up	1.02E-07	NaN	0.0001	0.0149	0.3681
112	U00000133	Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	1.62	0.02	0.00	0.08	0.00	down	up	down	2.34E-07	0.0001	0.3681	0.5842	1.0000
113	U01160251	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.00	0.00	0.39	0.35	0.01	up	up	up	3.35E-08	1.0000	0.0001	0.0001	0.2343
114	U00804007	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.02	0.04	1.59	1.19	0.06	up	up	up	9.33E-08	0.2675	0.0002	0.0002	0.1530
115	U00808391	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.00	0.03	0.69	0.55	0.03	up	up	up	3.94E-08	0.0779	0.0001	0.0002	0.1963
116	U01154512	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.00	0.01	0.25	0.21	0.02	up	up	up	1.05E-07	1.0000	0.0001	0.0001	0.1799
117	U00011248	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.03	0.13	2.07	1.07	0.07	up	up	down	2.67E-07	0.5182	0.0002	0.0005	0.5918
118	U00043735	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.00	0.05	0.45	0.69	0.03	up	up	down	1.05E-06	0.0403	0.0036	0.0004	0.6280
119	U00000409	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.15	0.55	8.70	4.64	0.24	up	up	down	7.02E-08	0.0187	0.0002	0.0002	0.0820
120	U00007185	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.01	0.04	0.63	0.39	0.05	up	up	up	9.03E-08	0.0934	0.0002	0.0002	0.9054
121	U00003325	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.00	0.04	0.02	0.00	0.18	down	down	up	7.00E-05	0.2343	0.5848	0.2343	0.0049
122	U00000022	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.03	0.14	0.04	0.04	1.32	down	down	up	7.61E-06	0.0194	0.0718	0.0620	0.0002
